input_decimal,input_hex,fpga_result_hex,latency_seconds,latency_ms
15842,0x3DE2,0x7DDA,0.007074,7.074
15843,0x3DE3,0x7DDB,0.007840,7.840
15844,0x3DE4,0x7DDC,0.007009,7.009
15845,0x3DE5,0x7DDD,0.007069,7.069
15846,0x3DE6,0x7DDE,0.007895,7.895
15847,0x3DE7,0x7DDF,0.007057,7.057
15848,0x3DE8,0x7DE0,0.007079,7.079
15849,0x3DE9,0x7DE1,0.007833,7.833
15850,0x3DEA,0x7DE2,0.007011,7.011
15851,0x3DEB,0x7DE3,0.006980,6.980
15852,0x3DEC,0x7DE4,0.007056,7.056
15853,0x3DED,0x7DE5,0.006964,6.964
15854,0x3DEE,0x7DE6,0.006964,6.964
15855,0x3DEF,0x7DE7,0.006985,6.985
15856,0x3DF0,0x7DE8,0.007044,7.044
15857,0x3DF1,0x7DE9,0.007235,7.235
15858,0x3DF2,0x7DEA,0.007836,7.836
15859,0x3DF3,0x7DEB,0.008004,8.004
15860,0x3DF4,0x7DEC,0.007988,7.988
15861,0x3DF5,0x7DED,0.007863,7.863
15862,0x3DF6,0x7DEE,0.007022,7.022
15863,0x3DF7,0x7DEF,0.007953,7.953
15864,0x3DF8,0x7DF0,0.007083,7.083
15865,0x3DF9,0x7DF1,0.007975,7.975
15866,0x3DFA,0x7DF2,0.007986,7.986
15867,0x3DFB,0x7DF3,0.008009,8.009
15868,0x3DFC,0x7DF4,0.007865,7.865
15869,0x3DFD,0x7DF5,0.007042,7.042
15870,0x3DFE,0x7DF6,0.007911,7.911
15871,0x3DFF,0x7DF7,0.007155,7.155
15872,0x3E00,0x7DF8,0.007974,7.974
15873,0x3E01,0x7DF9,0.007982,7.982
15874,0x3E02,0x7DFA,0.007984,7.984
15875,0x3E03,0x7DFB,0.007830,7.830
15876,0x3E04,0x7DFC,0.007193,7.193
15877,0x3E05,0x7DFD,0.007899,7.899
15878,0x3E06,0x7DFE,0.008002,8.002
15879,0x3E07,0x7DFF,0.007815,7.815
15880,0x3E08,0x7E00,0.007185,7.185
15881,0x3E09,0x7E01,0.007966,7.966
15882,0x3E0A,0x7E02,0.007980,7.980
15883,0x3E0B,0x7E03,0.007966,7.966
15884,0x3E0C,0x7E04,0.007874,7.874
15885,0x3E0D,0x7E05,0.007180,7.180
15886,0x3E0E,0x7E06,0.007907,7.907
15887,0x3E0F,0x7E07,0.007981,7.981
15888,0x3E10,0x7E08,0.007990,7.990
15889,0x3E11,0x7E09,0.007940,7.940
15890,0x3E12,0x7E0A,0.007891,7.891
15891,0x3E13,0x7E0B,0.007024,7.024
15892,0x3E14,0x7E0C,0.007923,7.923
15893,0x3E15,0x7E0D,0.007194,7.194
15894,0x3E16,0x7E0E,0.007914,7.914
15895,0x3E17,0x7E0F,0.007981,7.981
15896,0x3E18,0x7E10,0.007998,7.998
15897,0x3E19,0x7E11,0.007981,7.981
15898,0x3E1A,0x7E12,0.007991,7.991
15899,0x3E1B,0x7E13,0.007957,7.957
15900,0x3E1C,0x7E14,0.007984,7.984
15901,0x3E1D,0x7E15,0.007852,7.852
15902,0x3E1E,0x7E16,0.007068,7.068
15903,0x3E1F,0x7E17,0.008059,8.059
15904,0x3E20,0x7E18,0.007957,7.957
15905,0x3E21,0x7E19,0.008041,8.041
15906,0x3E22,0x7E1B,0.007997,7.997
15907,0x3E23,0x7E1C,0.008102,8.102
15908,0x3E24,0x7E1D,0.007654,7.654
15909,0x3E25,0x7E1E,0.007015,7.015
15910,0x3E26,0x7E1F,0.007186,7.186
15911,0x3E27,0x7E20,0.008038,8.038
15912,0x3E28,0x7E21,0.007715,7.715
15913,0x3E29,0x7E22,0.007016,7.016
15914,0x3E2A,0x7E23,0.007193,7.193
15915,0x3E2B,0x7E24,0.007884,7.884
15916,0x3E2C,0x7E25,0.007997,7.997
15917,0x3E2D,0x7E26,0.007978,7.978
15918,0x3E2E,0x7E27,0.007991,7.991
15919,0x3E2F,0x7E28,0.008012,8.012
15920,0x3E30,0x7E29,0.007821,7.821
15921,0x3E31,0x7E2A,0.007362,7.362
15922,0x3E32,0x7E2B,0.007589,7.589
15923,0x3E33,0x7E2C,0.007100,7.100
15924,0x3E34,0x7E2D,0.007899,7.899
15925,0x3E35,0x7E2E,0.007061,7.061
15926,0x3E36,0x7E2F,0.007886,7.886
15927,0x3E37,0x7E30,0.007110,7.110
15928,0x3E38,0x7E31,0.008010,8.010
15929,0x3E39,0x7E32,0.007953,7.953
15930,0x3E3A,0x7E33,0.007989,7.989
15931,0x3E3B,0x7E34,0.007982,7.982
15932,0x3E3C,0x7E35,0.007835,7.835
15933,0x3E3D,0x7E36,0.007087,7.087
15934,0x3E3E,0x7E37,0.007910,7.910
15935,0x3E3F,0x7E38,0.007152,7.152
15936,0x3E40,0x7E39,0.007909,7.909
15937,0x3E41,0x7E3A,0.008024,8.024
15938,0x3E42,0x7E3B,0.008218,8.218
15939,0x3E43,0x7E3C,0.007763,7.763
15940,0x3E44,0x7E3D,0.007997,7.997
15941,0x3E45,0x7E3E,0.007835,7.835
15942,0x3E46,0x7E3F,0.007156,7.156
15943,0x3E47,0x7E40,0.007950,7.950
15944,0x3E48,0x7E41,0.007995,7.995
15945,0x3E49,0x7E42,0.007865,7.865
15946,0x3E4A,0x7E43,0.007947,7.947
15947,0x3E4B,0x7E44,0.007057,7.057
15948,0x3E4C,0x7E45,0.007910,7.910
15949,0x3E4D,0x7E46,0.007056,7.056
15950,0x3E4E,0x7E47,0.008067,8.067
15951,0x3E4F,0x7E48,0.007972,7.972
15952,0x3E50,0x7E49,0.007974,7.974
15953,0x3E51,0x7E4A,0.007956,7.956
15954,0x3E52,0x7E4B,0.007982,7.982
15955,0x3E53,0x7E4C,0.007997,7.997
15956,0x3E54,0x7E4D,0.007898,7.898
15957,0x3E55,0x7E4E,0.006999,6.999
15958,0x3E56,0x7E4F,0.007111,7.111
15959,0x3E57,0x7E50,0.007845,7.845
15960,0x3E58,0x7E51,0.007016,7.016
15961,0x3E59,0x7E52,0.007924,7.924
15962,0x3E5A,0x7E53,0.007008,7.008
15963,0x3E5B,0x7E54,0.007084,7.084
15964,0x3E5C,0x7E55,0.007890,7.890
15965,0x3E5D,0x7E56,0.007069,7.069
15966,0x3E5E,0x7E57,0.007868,7.868
15967,0x3E5F,0x7E58,0.007079,7.079
15968,0x3E60,0x7E59,0.007920,7.920
15969,0x3E61,0x7E5A,0.007054,7.054
15970,0x3E62,0x7E5B,0.007911,7.911
15971,0x3E63,0x7E5C,0.007040,7.040
15972,0x3E64,0x7E5D,0.007898,7.898
15973,0x3E65,0x7E5E,0.007058,7.058
15974,0x3E66,0x7E5F,0.007919,7.919
15975,0x3E67,0x7E60,0.007019,7.019
15976,0x3E68,0x7E61,0.007072,7.072
15977,0x3E69,0x7E62,0.007893,7.893
15978,0x3E6A,0x7E63,0.007026,7.026
15979,0x3E6B,0x7E65,0.007949,7.949
15980,0x3E6C,0x7E66,0.007112,7.112
15981,0x3E6D,0x7E67,0.007822,7.822
15982,0x3E6E,0x7E68,0.007044,7.044
15983,0x3E6F,0x7E69,0.007948,7.948
15984,0x3E70,0x7E6A,0.007005,7.005
15985,0x3E71,0x7E6B,0.007053,7.053
15986,0x3E72,0x7E6C,0.007950,7.950
15987,0x3E73,0x7E6D,0.007951,7.951
15988,0x3E74,0x7E6E,0.007050,7.050
15989,0x3E75,0x7E6F,0.007858,7.858
15990,0x3E76,0x7E70,0.007042,7.042
15991,0x3E77,0x7E71,0.007942,7.942
15992,0x3E78,0x7E72,0.007040,7.040
15993,0x3E79,0x7E73,0.007927,7.927
15994,0x3E7A,0x7E74,0.007029,7.029
15995,0x3E7B,0x7E75,0.007943,7.943
15996,0x3E7C,0x7E76,0.007096,7.096
15997,0x3E7D,0x7E77,0.007888,7.888
15998,0x3E7E,0x7E78,0.007026,7.026
15999,0x3E7F,0x7E79,0.007938,7.938
16000,0x3E80,0x7E7A,0.007054,7.054
16001,0x3E81,0x7E7B,0.007928,7.928
16002,0x3E82,0x7E7C,0.007170,7.170
16003,0x3E83,0x7E7D,0.007932,7.932
16004,0x3E84,0x7E7E,0.007994,7.994
16005,0x3E85,0x7E7F,0.007977,7.977
16006,0x3E86,0x7E80,0.007987,7.987
16007,0x3E87,0x7E81,0.007983,7.983
16008,0x3E88,0x7E82,0.007986,7.986
16009,0x3E89,0x7E83,0.007826,7.826
16010,0x3E8A,0x7E84,0.007021,7.021
16011,0x3E8B,0x7E85,0.007098,7.098
16012,0x3E8C,0x7E86,0.007852,7.852
16013,0x3E8D,0x7E87,0.006987,6.987
16014,0x3E8E,0x7E88,0.007086,7.086
16015,0x3E8F,0x7E89,0.007901,7.901
16016,0x3E90,0x7E8A,0.007051,7.051
16017,0x3E91,0x7E8B,0.007917,7.917
16018,0x3E92,0x7E8C,0.007055,7.055
16019,0x3E93,0x7E8D,0.008104,8.104
16020,0x3E94,0x7E8E,0.007826,7.826
16021,0x3E95,0x7E8F,0.007971,7.971
16022,0x3E96,0x7E90,0.007018,7.018
16023,0x3E97,0x7E91,0.007924,7.924
16024,0x3E98,0x7E92,0.007042,7.042
16025,0x3E99,0x7E93,0.007105,7.105
16026,0x3E9A,0x7E94,0.007834,7.834
16027,0x3E9B,0x7E95,0.007022,7.022
16028,0x3E9C,0x7E96,0.007944,7.944
16029,0x3E9D,0x7E97,0.007086,7.086
16030,0x3E9E,0x7E98,0.007910,7.910
16031,0x3E9F,0x7E99,0.007025,7.025
16032,0x3EA0,0x7E9A,0.007941,7.941
16033,0x3EA1,0x7E9B,0.007004,7.004
16034,0x3EA2,0x7E9C,0.007930,7.930
16035,0x3EA3,0x7E9D,0.007043,7.043
16036,0x3EA4,0x7E9E,0.008083,8.083
16037,0x3EA5,0x7E9F,0.007844,7.844
16038,0x3EA6,0x7EA0,0.007037,7.037
16039,0x3EA7,0x7EA1,0.007905,7.905
16040,0x3EA8,0x7EA2,0.007023,7.023
16041,0x3EA9,0x7EA3,0.007038,7.038
16042,0x3EAA,0x7EA4,0.007900,7.900
16043,0x3EAB,0x7EA5,0.006994,6.994
16044,0x3EAC,0x7EA6,0.007079,7.079
16045,0x3EAD,0x7EA7,0.007894,7.894
16046,0x3EAE,0x7EA8,0.007009,7.009
16047,0x3EAF,0x7EA9,0.007070,7.070
16048,0x3EB0,0x7EAA,0.007890,7.890
16049,0x3EB1,0x7EAB,0.007024,7.024
16050,0x3EB2,0x7EAC,0.007049,7.049
16051,0x3EB3,0x7EAD,0.007882,7.882
16052,0x3EB4,0x7EAE,0.007076,7.076
16053,0x3EB5,0x7EAF,0.007895,7.895
16054,0x3EB6,0x7EB0,0.007067,7.067
16055,0x3EB7,0x7EB1,0.007885,7.885
16056,0x3EB8,0x7EB2,0.006981,6.981
16057,0x3EB9,0x7EB3,0.007059,7.059
16058,0x3EBA,0x7EB4,0.007923,7.923
16059,0x3EBB,0x7EB5,0.007047,7.047
16060,0x3EBC,0x7EB6,0.007075,7.075
16061,0x3EBD,0x7EB7,0.007835,7.835
16062,0x3EBE,0x7EB8,0.007048,7.048
16063,0x3EBF,0x7EB9,0.007049,7.049
16064,0x3EC0,0x7EBA,0.007861,7.861
16065,0x3EC1,0x7EBB,0.006992,6.992
16066,0x3EC2,0x7EBC,0.007277,7.277
16067,0x3EC3,0x7EBD,0.007836,7.836
16068,0x3EC4,0x7EBE,0.007832,7.832
16069,0x3EC5,0x7EC0,0.007061,7.061
16070,0x3EC6,0x7EC1,0.007934,7.934
16071,0x3EC7,0x7EC2,0.007137,7.137
16072,0x3EC8,0x7EC3,0.007940,7.940
16073,0x3EC9,0x7EC4,0.007989,7.989
16074,0x3ECA,0x7EC5,0.007979,7.979
16075,0x3ECB,0x7EC6,0.007872,7.872
16076,0x3ECC,0x7EC7,0.007089,7.089
16077,0x3ECD,0x7EC8,0.007886,7.886
16078,0x3ECE,0x7EC9,0.007193,7.193
16079,0x3ECF,0x7ECA,0.007884,7.884
16080,0x3ED0,0x7ECB,0.007998,7.998
16081,0x3ED1,0x7ECC,0.008149,8.149
16082,0x3ED2,0x7ECD,0.007711,7.711
16083,0x3ED3,0x7ECE,0.007013,7.013
16084,0x3ED4,0x7ECF,0.007211,7.211
16085,0x3ED5,0x7ED0,0.007722,7.722
16086,0x3ED6,0x7ED1,0.006978,6.978
16087,0x3ED7,0x7ED2,0.007076,7.076
16088,0x3ED8,0x7ED3,0.007921,7.921
16089,0x3ED9,0x7ED4,0.007170,7.170
16090,0x3EDA,0x7ED5,0.007959,7.959
16091,0x3EDB,0x7ED6,0.007965,7.965
16092,0x3EDC,0x7ED7,0.008013,8.013
16093,0x3EDD,0x7ED8,0.007807,7.807
16094,0x3EDE,0x7ED9,0.007179,7.179
16095,0x3EDF,0x7EDA,0.007927,7.927
16096,0x3EE0,0x7EDB,0.008013,8.013
16097,0x3EE1,0x7EDC,0.007921,7.921
16098,0x3EE2,0x7EDD,0.008030,8.030
16099,0x3EE3,0x7EDE,0.007830,7.830
16100,0x3EE4,0x7EDF,0.007189,7.189
16101,0x3EE5,0x7EE0,0.007931,7.931
16102,0x3EE6,0x7EE1,0.007989,7.989
16103,0x3EE7,0x7EE2,0.007978,7.978
16104,0x3EE8,0x7EE3,0.008002,8.002
16105,0x3EE9,0x7EE4,0.007997,7.997
16106,0x3EEA,0x7EE5,0.007983,7.983
16107,0x3EEB,0x7EE6,0.007836,7.836
16108,0x3EEC,0x7EE7,0.007164,7.164
16109,0x3EED,0x7EE8,0.007961,7.961
16110,0x3EEE,0x7EE9,0.007840,7.840
16111,0x3EEF,0x7EEA,0.007167,7.167
16112,0x3EF0,0x7EEB,0.007939,7.939
16113,0x3EF1,0x7EEC,0.008017,8.017
16114,0x3EF2,0x7EED,0.007971,7.971
16115,0x3EF3,0x7EEE,0.007835,7.835
16116,0x3EF4,0x7EEF,0.007020,7.020
16117,0x3EF5,0x7EF0,0.007052,7.052
16118,0x3EF6,0x7EF1,0.008048,8.048
16119,0x3EF7,0x7EF2,0.008017,8.017
16120,0x3EF8,0x7EF3,0.008000,8.000
16121,0x3EF9,0x7EF4,0.007897,7.897
16122,0x3EFA,0x7EF5,0.008027,8.027
16123,0x3EFB,0x7EF6,0.007860,7.860
16124,0x3EFC,0x7EF7,0.007064,7.064
16125,0x3EFD,0x7EF8,0.007897,7.897
16126,0x3EFE,0x7EF9,0.007272,7.272
16127,0x3EFF,0x7EFA,0.007841,7.841
16128,0x3F00,0x7EFB,0.007997,7.997
16129,0x3F01,0x7EFC,0.007828,7.828
16130,0x3F02,0x7EFD,0.007043,7.043
16131,0x3F03,0x7EFE,0.007938,7.938
16132,0x3F04,0x7EFF,0.007184,7.184
16133,0x3F05,0x7F00,0.007875,7.875
16134,0x3F06,0x7F01,0.007987,7.987
16135,0x3F07,0x7F02,0.008010,8.010
16136,0x3F08,0x7F03,0.007883,7.883
16137,0x3F09,0x7F04,0.007046,7.046
16138,0x3F0A,0x7F05,0.007905,7.905
16139,0x3F0B,0x7F06,0.007051,7.051
16140,0x3F0C,0x7F07,0.007956,7.956
16141,0x3F0D,0x7F08,0.008096,8.096
16142,0x3F0E,0x7F09,0.007815,7.815
16143,0x3F0F,0x7F0A,0.007076,7.076
16144,0x3F10,0x7F0B,0.007858,7.858
16145,0x3F11,0x7F0C,0.007115,7.115
16146,0x3F12,0x7F0D,0.007864,7.864
16147,0x3F13,0x7F0E,0.007089,7.089
16148,0x3F14,0x7F0F,0.007894,7.894
16149,0x3F15,0x7F10,0.007083,7.083
16150,0x3F16,0x7F11,0.008023,8.023
16151,0x3F17,0x7F12,0.007839,7.839
16152,0x3F18,0x7F13,0.007000,7.000
16153,0x3F19,0x7F14,0.007196,7.196
16154,0x3F1A,0x7F15,0.007785,7.785
16155,0x3F1B,0x7F16,0.007170,7.170
16156,0x3F1C,0x7F17,0.007797,7.797
16157,0x3F1D,0x7F18,0.007149,7.149
16158,0x3F1E,0x7F19,0.007803,7.803
16159,0x3F1F,0x7F1A,0.007140,7.140
16160,0x3F20,0x7F1B,0.007825,7.825
16161,0x3F21,0x7F1C,0.007007,7.007
16162,0x3F22,0x7F1D,0.007013,7.013
16163,0x3F23,0x7F1E,0.007062,7.062
16164,0x3F24,0x7F1F,0.008079,8.079
16165,0x3F25,0x7F20,0.007933,7.933
16166,0x3F26,0x7F21,0.007985,7.985
16167,0x3F27,0x7F22,0.007984,7.984
16168,0x3F28,0x7F23,0.007983,7.983
16169,0x3F29,0x7F24,0.007983,7.983
16170,0x3F2A,0x7F25,0.007984,7.984
16171,0x3F2B,0x7F26,0.007858,7.858
16172,0x3F2C,0x7F27,0.007137,7.137
16173,0x3F2D,0x7F28,0.007863,7.863
16174,0x3F2E,0x7F29,0.007985,7.985
16175,0x3F2F,0x7F2A,0.007927,7.927
16176,0x3F30,0x7F2B,0.007361,7.361
16177,0x3F31,0x7F2C,0.007577,7.577
16178,0x3F32,0x7F2D,0.007031,7.031
16179,0x3F33,0x7F2E,0.007060,7.060
16180,0x3F34,0x7F2F,0.007905,7.905
16181,0x3F35,0x7F30,0.007013,7.013
16182,0x3F36,0x7F31,0.007934,7.934
16183,0x3F37,0x7F32,0.007032,7.032
16184,0x3F38,0x7F33,0.007932,7.932
16185,0x3F39,0x7F34,0.007035,7.035
16186,0x3F3A,0x7F35,0.007937,7.937
16187,0x3F3B,0x7F36,0.007015,7.015
16188,0x3F3C,0x7F37,0.007131,7.131
16189,0x3F3D,0x7F38,0.007805,7.805
16190,0x3F3E,0x7F39,0.007965,7.965
16191,0x3F3F,0x7F3A,0.007062,7.062
16192,0x3F40,0x7F3B,0.007893,7.893
16193,0x3F41,0x7F3C,0.007093,7.093
16194,0x3F42,0x7F3D,0.007910,7.910
16195,0x3F43,0x7F3E,0.007010,7.010
16196,0x3F44,0x7F3F,0.007050,7.050
16197,0x3F45,0x7F40,0.007875,7.875
16198,0x3F46,0x7F41,0.007053,7.053
16199,0x3F47,0x7F42,0.007935,7.935
16200,0x3F48,0x7F44,0.006991,6.991
16201,0x3F49,0x7F45,0.007051,7.051
16202,0x3F4A,0x7F46,0.007894,7.894
16203,0x3F4B,0x7F47,0.007064,7.064
16204,0x3F4C,0x7F48,0.007927,7.927
16205,0x3F4D,0x7F49,0.007022,7.022
16206,0x3F4E,0x7F4A,0.007928,7.928
16207,0x3F4F,0x7F4B,0.007053,7.053
16208,0x3F50,0x7F4C,0.007919,7.919
16209,0x3F51,0x7F4D,0.007007,7.007
16210,0x3F52,0x7F4E,0.007039,7.039
16211,0x3F53,0x7F4F,0.007930,7.930
16212,0x3F54,0x7F50,0.006993,6.993
16213,0x3F55,0x7F51,0.007088,7.088
16214,0x3F56,0x7F52,0.007884,7.884
16215,0x3F57,0x7F53,0.007059,7.059
16216,0x3F58,0x7F54,0.007839,7.839
16217,0x3F59,0x7F55,0.007053,7.053
16218,0x3F5A,0x7F56,0.007938,7.938
16219,0x3F5B,0x7F57,0.006999,6.999
16220,0x3F5C,0x7F58,0.007055,7.055
16221,0x3F5D,0x7F59,0.007895,7.895
16222,0x3F5E,0x7F5A,0.007076,7.076
16223,0x3F5F,0x7F5B,0.007912,7.912
16224,0x3F60,0x7F5C,0.007018,7.018
16225,0x3F61,0x7F5D,0.007923,7.923
16226,0x3F62,0x7F5E,0.007018,7.018
16227,0x3F63,0x7F5F,0.007041,7.041
16228,0x3F64,0x7F60,0.007886,7.886
16229,0x3F65,0x7F61,0.007031,7.031
16230,0x3F66,0x7F62,0.007096,7.096
16231,0x3F67,0x7F63,0.007867,7.867
16232,0x3F68,0x7F64,0.007087,7.087
16233,0x3F69,0x7F65,0.007895,7.895
16234,0x3F6A,0x7F66,0.007070,7.070
16235,0x3F6B,0x7F67,0.007897,7.897
16236,0x3F6C,0x7F68,0.006991,6.991
16237,0x3F6D,0x7F69,0.007043,7.043
16238,0x3F6E,0x7F6A,0.007913,7.913
16239,0x3F6F,0x7F6B,0.007082,7.082
16240,0x3F70,0x7F6C,0.007866,7.866
16241,0x3F71,0x7F6D,0.007025,7.025
16242,0x3F72,0x7F6E,0.007921,7.921
16243,0x3F73,0x7F6F,0.007034,7.034
16244,0x3F74,0x7F70,0.007002,7.002
16245,0x3F75,0x7F71,0.007060,7.060
16246,0x3F76,0x7F72,0.007896,7.896
16247,0x3F77,0x7F73,0.007029,7.029
16248,0x3F78,0x7F74,0.007924,7.924
16249,0x3F79,0x7F75,0.007021,7.021
16250,0x3F7A,0x7F76,0.007946,7.946
16251,0x3F7B,0x7F77,0.007076,7.076
16252,0x3F7C,0x7F78,0.007880,7.880
16253,0x3F7D,0x7F79,0.007070,7.070
16254,0x3F7E,0x7F7A,0.007922,7.922
16255,0x3F7F,0x7F7B,0.007027,7.027
16256,0x3F80,0x7F7C,0.007042,7.042
16257,0x3F81,0x7F7D,0.007862,7.862
16258,0x3F82,0x7F7E,0.007067,7.067
16259,0x3F83,0x7F7F,0.006946,6.946
16260,0x3F84,0x7F80,0.006962,6.962
16261,0x3F85,0x7F81,0.006998,6.998
16262,0x3F86,0x7F82,0.007001,7.001
16263,0x3F87,0x7F83,0.006981,6.981
16264,0x3F88,0x7F84,0.007036,7.036
16265,0x3F89,0x7F85,0.006951,6.951
16266,0x3F8A,0x7F86,0.006987,6.987
16267,0x3F8B,0x7F87,0.007019,7.019
16268,0x3F8C,0x7F88,0.006985,6.985
16269,0x3F8D,0x7F89,0.007061,7.061
16270,0x3F8E,0x7F8A,0.007908,7.908
16271,0x3F8F,0x7F8B,0.007060,7.060
16272,0x3F90,0x7F8C,0.007081,7.081
16273,0x3F91,0x7F8D,0.007816,7.816
16274,0x3F92,0x7F8E,0.007039,7.039
16275,0x3F93,0x7F8F,0.007039,7.039
16276,0x3F94,0x7F90,0.007900,7.900
16277,0x3F95,0x7F91,0.007054,7.054
16278,0x3F96,0x7F92,0.007056,7.056
16279,0x3F97,0x7F93,0.007874,7.874
16280,0x3F98,0x7F94,0.007002,7.002
16281,0x3F99,0x7F95,0.007018,7.018
16282,0x3F9A,0x7F96,0.006991,6.991
16283,0x3F9B,0x7F97,0.007043,7.043
16284,0x3F9C,0x7F98,0.007909,7.909
16285,0x3F9D,0x7F99,0.007059,7.059
16286,0x3F9E,0x7F9A,0.007913,7.913
16287,0x3F9F,0x7F9B,0.007051,7.051
16288,0x3FA0,0x7F9C,0.007917,7.917
16289,0x3FA1,0x7F9D,0.007043,7.043
16290,0x3FA2,0x7F9E,0.007922,7.922
16291,0x3FA3,0x7F9F,0.007002,7.002
16292,0x3FA4,0x7FA0,0.006972,6.972
16293,0x3FA5,0x7FA1,0.007005,7.005
16294,0x3FA6,0x7FA2,0.006988,6.988
16295,0x3FA7,0x7FA3,0.006991,6.991
16296,0x3FA8,0x7FA4,0.007065,7.065
16297,0x3FA9,0x7FA5,0.007910,7.910
16298,0x3FAA,0x7FA6,0.007053,7.053
16299,0x3FAB,0x7FA7,0.006991,6.991
16300,0x3FAC,0x7FA8,0.007061,7.061
16301,0x3FAD,0x7FA9,0.007866,7.866
16302,0x3FAE,0x7FAA,0.007026,7.026
16303,0x3FAF,0x7FAB,0.007027,7.027
16304,0x3FB0,0x7FAC,0.008027,8.027
16305,0x3FB1,0x7FAD,0.008245,8.245
16306,0x3FB2,0x7FAE,0.007607,7.607
16307,0x3FB3,0x7FAF,0.007062,7.062
16308,0x3FB4,0x7FB0,0.007900,7.900
16309,0x3FB5,0x7FB1,0.007049,7.049
16310,0x3FB6,0x7FB2,0.007936,7.936
16311,0x3FB7,0x7FB3,0.007046,7.046
16312,0x3FB8,0x7FB4,0.007933,7.933
16313,0x3FB9,0x7FB5,0.007024,7.024
16314,0x3FBA,0x7FB6,0.008081,8.081
16315,0x3FBB,0x7FB7,0.007979,7.979
16316,0x3FBC,0x7FB8,0.007986,7.986
16317,0x3FBD,0x7FB9,0.007988,7.988
16318,0x3FBE,0x7FBA,0.008146,8.146
16319,0x3FBF,0x7FBB,0.007697,7.697
16320,0x3FC0,0x7FBC,0.007021,7.021
16321,0x3FC1,0x7FBD,0.007931,7.931
16322,0x3FC2,0x7FBE,0.007142,7.142
16323,0x3FC3,0x7FBF,0.007842,7.842
16324,0x3FC4,0x7FC0,0.007056,7.056
16325,0x3FC5,0x7FC1,0.007898,7.898
16326,0x3FC6,0x7FC2,0.007159,7.159
16327,0x3FC7,0x7FC3,0.007944,7.944
16328,0x3FC8,0x7FC4,0.008002,8.002
16329,0x3FC9,0x7FC5,0.008081,8.081
16330,0x3FCA,0x7FC6,0.007723,7.723
16331,0x3FCB,0x7FC7,0.007092,7.092
16332,0x3FCC,0x7FC8,0.007898,7.898
16333,0x3FCD,0x7FC9,0.006990,6.990
16334,0x3FCE,0x7FCA,0.007052,7.052
16335,0x3FCF,0x7FCB,0.007895,7.895
16336,0x3FD0,0x7FCC,0.007041,7.041
16337,0x3FD1,0x7FCD,0.007059,7.059
16338,0x3FD2,0x7FCE,0.008027,8.027
16339,0x3FD3,0x7FCF,0.008139,8.139
16340,0x3FD4,0x7FD0,0.007687,7.687
16341,0x3FD5,0x7FD1,0.007024,7.024
16342,0x3FD6,0x7FD2,0.007899,7.899
16343,0x3FD7,0x7FD3,0.007008,7.008
16344,0x3FD8,0x7FD4,0.007043,7.043
16345,0x3FD9,0x7FD5,0.007889,7.889
16346,0x3FDA,0x7FD6,0.007071,7.071
16347,0x3FDB,0x7FD7,0.007921,7.921
16348,0x3FDC,0x7FD8,0.007017,7.017
16349,0x3FDD,0x7FD9,0.007058,7.058
16350,0x3FDE,0x7FDA,0.007862,7.862
16351,0x3FDF,0x7FDB,0.007025,7.025
16352,0x3FE0,0x7FDC,0.007101,7.101
16353,0x3FE1,0x7FDD,0.007851,7.851
16354,0x3FE2,0x7FDE,0.007067,7.067
16355,0x3FE3,0x7FDF,0.007883,7.883
16356,0x3FE4,0x7FE0,0.007073,7.073
16357,0x3FE5,0x7FE1,0.007923,7.923
16358,0x3FE6,0x7FE2,0.006989,6.989
16359,0x3FE7,0x7FE3,0.007061,7.061
16360,0x3FE8,0x7FE4,0.007897,7.897
16361,0x3FE9,0x7FE5,0.007040,7.040
16362,0x3FEA,0x7FE6,0.007924,7.924
16363,0x3FEB,0x7FE7,0.007001,7.001
16364,0x3FEC,0x7FE8,0.007043,7.043
16365,0x3FED,0x7FE9,0.007902,7.902
16366,0x3FEE,0x7FEA,0.007001,7.001
16367,0x3FEF,0x7FEB,0.007055,7.055
16368,0x3FF0,0x7FEC,0.007925,7.925
16369,0x3FF1,0x7FED,0.007021,7.021
16370,0x3FF2,0x7FEE,0.007004,7.004
16371,0x3FF3,0x7FEF,0.007052,7.052
16372,0x3FF4,0x7FF0,0.007868,7.868
16373,0x3FF5,0x7FF1,0.007061,7.061
16374,0x3FF6,0x7FF2,0.007919,7.919
16375,0x3FF7,0x7FF3,0.006986,6.986
16376,0x3FF8,0x7FF4,0.007045,7.045
16377,0x3FF9,0x7FF5,0.007919,7.919
16378,0x3FFA,0x7FF6,0.007015,7.015
16379,0x3FFB,0x7FF7,0.007040,7.040
16380,0x3FFC,0x7FF8,0.007903,7.903
16381,0x3FFD,0x7FF9,0.006995,6.995
16382,0x3FFE,0x7FFA,0.007064,7.064
16383,0x3FFF,0x7FFB,0.008042,8.042
16384,0x4000,0x8000,0.007875,7.875
16385,0x4001,0x8001,0.008022,8.022
16386,0x4002,0x8002,0.007887,7.887
16387,0x4003,0x8003,0.007008,7.008
16388,0x4004,0x8004,0.007028,7.028
16389,0x4005,0x8005,0.007935,7.935
16390,0x4006,0x8006,0.007021,7.021
16391,0x4007,0x8007,0.007039,7.039
16392,0x4008,0x8008,0.007868,7.868
16393,0x4009,0x8009,0.006998,6.998
16394,0x400A,0x800A,0.007049,7.049
16395,0x400B,0x800B,0.007923,7.923
