Input (Dec),Expected (Float),FPGA (Q8.8),Abs Error,Error (LSB),Status
10545,102.6889,102.6758,0.013069,3.35 LSB,FAIL
10546,102.6937,102.6797,0.014032,3.59 LSB,FAIL
10547,102.6986,102.6875,0.011088,2.84 LSB,FAIL
10548,102.7035,102.6914,0.012050,3.08 LSB,FAIL
10549,102.7083,102.6953,0.013012,3.33 LSB,FAIL
10550,102.7132,102.6992,0.013974,3.58 LSB,FAIL
10551,102.7181,102.7070,0.011029,2.82 LSB,FAIL
10552,102.7229,102.7109,0.011991,3.07 LSB,FAIL
10553,102.7278,102.7148,0.012952,3.32 LSB,FAIL
10554,102.7327,102.7188,0.013913,3.56 LSB,FAIL
10555,102.7375,102.7227,0.014873,3.81 LSB,FAIL
10556,102.7424,102.7305,0.011928,3.05 LSB,FAIL
10557,102.7473,102.7344,0.012888,3.30 LSB,FAIL
10558,102.7521,102.7383,0.013848,3.55 LSB,FAIL
10559,102.7570,102.7422,0.014807,3.79 LSB,FAIL
10560,102.7619,102.7500,0.011861,3.04 LSB,FAIL
10561,102.7667,102.7539,0.012820,3.28 LSB,FAIL
10562,102.7716,102.7578,0.013779,3.53 LSB,FAIL
10563,102.7765,102.7617,0.014738,3.77 LSB,FAIL
10564,102.7813,102.7695,0.011790,3.02 LSB,FAIL
10565,102.7862,102.7734,0.012748,3.26 LSB,FAIL
10566,102.7911,102.7773,0.013706,3.51 LSB,FAIL
10567,102.7959,102.7812,0.014664,3.75 LSB,FAIL
10568,102.8008,102.7891,0.011716,3.00 LSB,FAIL
10569,102.8056,102.7930,0.012673,3.24 LSB,FAIL
10570,102.8105,102.7969,0.013630,3.49 LSB,FAIL
10571,102.8154,102.8008,0.014587,3.73 LSB,FAIL
10572,102.8202,102.8086,0.011638,2.98 LSB,FAIL
10573,102.8251,102.8125,0.012594,3.22 LSB,FAIL
10574,102.8300,102.8164,0.013550,3.47 LSB,FAIL
10575,102.8348,102.8203,0.014507,3.71 LSB,FAIL
10576,102.8397,102.8281,0.011556,2.96 LSB,FAIL
10577,102.8445,102.8320,0.012512,3.20 LSB,FAIL
10578,102.8494,102.8359,0.013467,3.45 LSB,FAIL
10579,102.8543,102.8398,0.014422,3.69 LSB,FAIL
10580,102.8591,102.8477,0.011471,2.94 LSB,FAIL
10581,102.8640,102.8516,0.012425,3.18 LSB,FAIL
10582,102.8688,102.8555,0.013380,3.43 LSB,FAIL
10583,102.8737,102.8594,0.014334,3.67 LSB,FAIL
10584,102.8786,102.8672,0.011382,2.91 LSB,FAIL
10585,102.8834,102.8711,0.012335,3.16 LSB,FAIL
10586,102.8883,102.8750,0.013289,3.40 LSB,FAIL
10587,102.8931,102.8789,0.014242,3.65 LSB,FAIL
10588,102.8980,102.8867,0.011289,2.89 LSB,FAIL
10589,102.9029,102.8906,0.012242,3.13 LSB,FAIL
10590,102.9077,102.8945,0.013194,3.38 LSB,FAIL
10591,102.9126,102.8984,0.014147,3.62 LSB,FAIL
10592,102.9174,102.9062,0.011193,2.87 LSB,FAIL
10593,102.9223,102.9102,0.012145,3.11 LSB,FAIL
10594,102.9272,102.9141,0.013096,3.35 LSB,FAIL
10595,102.9320,102.9180,0.014048,3.60 LSB,FAIL
