Input (Dec),Expected (Float),FPGA (Q8.8),Abs Error,Error (LSB),Status
1,1.0000,1.0000,0.000000,0.00 LSB,PASS
2,1.4142,1.4141,0.000151,0.04 LSB,PASS
3,1.7321,1.7305,0.001582,0.41 LSB,PASS
4,2.0000,2.0000,0.000000,0.00 LSB,PASS
5,2.2361,2.2344,0.001693,0.43 LSB,PASS
6,2.4495,2.4492,0.000271,0.07 LSB,PASS
7,2.6458,2.6445,0.001220,0.31 LSB,PASS
8,2.8284,2.8281,0.000302,0.08 LSB,PASS
9,3.0000,2.9961,0.003906,1.00 LSB,PASS
10,3.1623,3.1602,0.002121,0.54 LSB,PASS
11,3.3166,3.3125,0.004125,1.06 LSB,PASS
12,3.4641,3.4609,0.003164,0.81 LSB,PASS
13,3.6056,3.6016,0.003989,1.02 LSB,PASS
14,3.7417,3.7383,0.003376,0.86 LSB,PASS
15,3.8730,3.8711,0.001890,0.48 LSB,PASS
16,4.0000,4.0000,0.000000,0.00 LSB,PASS
17,4.1231,4.1211,0.002012,0.52 LSB,PASS
18,4.2426,4.2422,0.000453,0.12 LSB,PASS
19,4.3589,4.3555,0.003430,0.88 LSB,PASS
20,4.4721,4.4688,0.003386,0.87 LSB,PASS
21,4.5826,4.5820,0.000544,0.14 LSB,PASS
22,4.6904,4.6875,0.002916,0.75 LSB,PASS
23,4.7958,4.7930,0.002863,0.73 LSB,PASS
24,4.8990,4.8984,0.000542,0.14 LSB,PASS
25,5.0000,5.0000,0.000000,0.00 LSB,PASS
26,5.0990,5.0977,0.001363,0.35 LSB,PASS
27,5.1962,5.1953,0.000840,0.22 LSB,PASS
28,5.2915,5.2891,0.002440,0.62 LSB,PASS
29,5.3852,5.3828,0.002352,0.60 LSB,PASS
30,5.4772,5.4766,0.000663,0.17 LSB,PASS
31,5.5678,5.5664,0.001358,0.35 LSB,PASS
32,5.6569,5.6562,0.000604,0.15 LSB,PASS
33,5.7446,5.7422,0.002375,0.61 LSB,PASS
34,5.8310,5.8281,0.002827,0.72 LSB,PASS
35,5.9161,5.9141,0.002017,0.52 LSB,PASS
36,6.0000,5.9961,0.003906,1.00 LSB,PASS
37,6.0828,6.0820,0.000731,0.19 LSB,PASS
38,6.1644,6.1602,0.004258,1.09 LSB,PASS
39,6.2450,6.2422,0.002810,0.72 LSB,PASS
40,6.3246,6.3203,0.004243,1.09 LSB,PASS
41,6.4031,6.4023,0.000780,0.20 LSB,PASS
42,6.4807,6.4766,0.004178,1.07 LSB,PASS
43,6.5574,6.5547,0.002751,0.70 LSB,PASS
44,6.6332,6.6289,0.004343,1.11 LSB,PASS
45,6.7082,6.7070,0.001173,0.30 LSB,PASS
46,6.7823,6.7812,0.001080,0.28 LSB,PASS
47,6.8557,6.8516,0.004092,1.05 LSB,PASS
48,6.9282,6.9258,0.002422,0.62 LSB,PASS
49,7.0000,6.9961,0.003906,1.00 LSB,PASS
50,7.0711,7.0703,0.000755,0.19 LSB,PASS
51,7.1414,7.1406,0.000803,0.21 LSB,PASS
52,7.2111,7.2070,0.004071,1.04 LSB,PASS
53,7.2801,7.2773,0.002766,0.71 LSB,PASS
54,7.3485,7.3477,0.000813,0.21 LSB,PASS
55,7.4162,7.4141,0.002136,0.55 LSB,PASS
56,7.4833,7.4805,0.002846,0.73 LSB,PASS
57,7.5498,7.5469,0.002959,0.76 LSB,PASS
58,7.6158,7.6133,0.002492,0.64 LSB,PASS
59,7.6811,7.6797,0.001458,0.37 LSB,PASS
60,7.7460,7.7422,0.003779,0.97 LSB,PASS
61,7.8102,7.8086,0.001656,0.42 LSB,PASS
62,7.8740,7.8711,0.002914,0.75 LSB,PASS
63,7.9373,7.9336,0.003660,0.94 LSB,PASS
64,8.0000,8.0000,0.000000,0.00 LSB,PASS
65,8.0623,8.0586,0.003664,0.94 LSB,PASS
66,8.1240,8.1211,0.002945,0.75 LSB,PASS
67,8.1854,8.1836,0.001759,0.45 LSB,PASS
68,8.2462,8.2461,0.000118,0.03 LSB,PASS
69,8.3066,8.3047,0.001936,0.50 LSB,PASS
70,8.3666,8.3633,0.003319,0.85 LSB,PASS
71,8.4261,8.4258,0.000369,0.09 LSB,PASS
72,8.4853,8.4844,0.000906,0.23 LSB,PASS
73,8.5440,8.5430,0.001035,0.26 LSB,PASS
74,8.6023,8.6016,0.000763,0.20 LSB,PASS
75,8.6603,8.6602,0.000098,0.03 LSB,PASS
76,8.7178,8.7148,0.002954,0.76 LSB,PASS
77,8.7750,8.7734,0.001527,0.39 LSB,PASS
78,8.8318,8.8281,0.003636,0.93 LSB,PASS
79,8.8882,8.8867,0.001476,0.38 LSB,PASS
80,8.9443,8.9414,0.002866,0.73 LSB,PASS
81,9.0000,9.0000,0.000000,0.00 LSB,PASS
82,9.0554,9.0547,0.000698,0.18 LSB,PASS
83,9.1104,9.1094,0.001059,0.27 LSB,PASS
84,9.1652,9.1641,0.001089,0.28 LSB,PASS
85,9.2195,9.2188,0.000794,0.20 LSB,PASS
86,9.2736,9.2734,0.000181,0.05 LSB,PASS
87,9.3274,9.3242,0.003160,0.81 LSB,PASS
88,9.3808,9.3789,0.001925,0.49 LSB,PASS
89,9.4340,9.4336,0.000387,0.10 LSB,PASS
90,9.4868,9.4844,0.002458,0.63 LSB,PASS
91,9.5394,9.5391,0.000330,0.08 LSB,PASS
92,9.5917,9.5898,0.001819,0.47 LSB,PASS
93,9.6437,9.6406,0.003026,0.77 LSB,PASS
94,9.6954,9.6953,0.000047,0.01 LSB,PASS
95,9.7468,9.7461,0.000701,0.18 LSB,PASS
96,9.7980,9.7969,0.001084,0.28 LSB,PASS
97,9.8489,9.8477,0.001202,0.31 LSB,PASS
98,9.8995,9.8984,0.001057,0.27 LSB,PASS
99,9.9499,9.9492,0.000656,0.17 LSB,PASS
100,10.0000,10.0000,0.000000,0.00 LSB,PASS
101,10.0499,10.0469,0.003001,0.77 LSB,PASS
102,10.0995,10.0977,0.001849,0.47 LSB,PASS
103,10.1489,10.1484,0.000454,0.12 LSB,PASS
104,10.1980,10.1953,0.002727,0.70 LSB,PASS
105,10.2470,10.2461,0.000857,0.22 LSB,PASS
106,10.2956,10.2930,0.002661,0.68 LSB,PASS
107,10.3441,10.3438,0.000330,0.08 LSB,PASS
108,10.3923,10.3906,0.001680,0.43 LSB,PASS
109,10.4403,10.4375,0.002807,0.72 LSB,PASS
110,10.4881,10.4844,0.003713,0.95 LSB,PASS
111,10.5357,10.5352,0.000498,0.13 LSB,PASS
112,10.5830,10.5820,0.000974,0.25 LSB,PASS
113,10.6301,10.6289,0.001240,0.32 LSB,PASS
114,10.6771,10.6758,0.001297,0.33 LSB,PASS
115,10.7238,10.7227,0.001149,0.29 LSB,PASS
116,10.7703,10.7695,0.000798,0.20 LSB,PASS
117,10.8167,10.8164,0.000248,0.06 LSB,PASS
118,10.8628,10.8594,0.003405,0.87 LSB,PASS
119,10.9087,10.9062,0.002462,0.63 LSB,PASS
120,10.9545,10.9531,0.001326,0.34 LSB,PASS
121,11.0000,11.0000,0.000000,0.00 LSB,PASS
122,11.0454,11.0430,0.002392,0.61 LSB,PASS
123,11.0905,11.0898,0.000693,0.18 LSB,PASS
124,11.1355,11.1328,0.002716,0.70 LSB,PASS
125,11.1803,11.1797,0.000652,0.17 LSB,PASS
126,11.2250,11.2227,0.002316,0.59 LSB,PASS
127,11.2694,11.2656,0.003803,0.97 LSB,PASS
128,11.3137,11.3125,0.001208,0.31 LSB,PASS
129,11.3578,11.3555,0.002348,0.60 LSB,PASS
130,11.4018,11.3984,0.003317,0.85 LSB,PASS
131,11.4455,11.4414,0.004117,1.05 LSB,PASS
132,11.4891,11.4844,0.004750,1.22 LSB,PASS
133,11.5326,11.5312,0.001313,0.34 LSB,PASS
134,11.5758,11.5742,0.001618,0.41 LSB,PASS
135,11.6190,11.6172,0.001763,0.45 LSB,PASS
136,11.6619,11.6602,0.001748,0.45 LSB,PASS
137,11.7047,11.7031,0.001575,0.40 LSB,PASS
138,11.7473,11.7422,0.005153,1.32 LSB,PASS
139,11.7898,11.7852,0.004670,1.20 LSB,PASS
140,11.8322,11.8281,0.004035,1.03 LSB,PASS
141,11.8743,11.8711,0.003248,0.83 LSB,PASS
142,11.9164,11.9141,0.002313,0.59 LSB,PASS
143,11.9583,11.9531,0.005136,1.31 LSB,PASS
144,12.0000,11.9961,0.003906,1.00 LSB,PASS
145,12.0416,12.0391,0.002532,0.65 LSB,PASS
146,12.0830,12.0781,0.004921,1.26 LSB,PASS
147,12.1244,12.1211,0.003262,0.84 LSB,PASS
148,12.1655,12.1641,0.001463,0.37 LSB,PASS
149,12.2066,12.2031,0.003431,0.88 LSB,PASS
150,12.2474,12.2461,0.001355,0.35 LSB,PASS
151,12.2882,12.2852,0.003049,0.78 LSB,PASS
152,12.3288,12.3242,0.004609,1.18 LSB,PASS
153,12.3693,12.3672,0.002129,0.55 LSB,PASS
154,12.4097,12.4062,0.003424,0.88 LSB,PASS
155,12.4499,12.4453,0.004587,1.17 LSB,PASS
156,12.4900,12.4883,0.001715,0.44 LSB,PASS
157,12.5300,12.5273,0.002620,0.67 LSB,PASS
158,12.5698,12.5664,0.003399,0.87 LSB,PASS
159,12.6095,12.6055,0.004051,1.04 LSB,PASS
160,12.6491,12.6445,0.004579,1.17 LSB,PASS
161,12.6886,12.6836,0.004984,1.28 LSB,PASS
162,12.7279,12.7266,0.001360,0.35 LSB,PASS
163,12.7671,12.7656,0.001520,0.39 LSB,PASS
164,12.8062,12.8047,0.001561,0.40 LSB,PASS
165,12.8452,12.8438,0.001483,0.38 LSB,PASS
166,12.8841,12.8789,0.005192,1.33 LSB,PASS
167,12.9228,12.9180,0.004879,1.25 LSB,PASS
168,12.9615,12.9570,0.004450,1.14 LSB,PASS
169,13.0000,12.9961,0.003906,1.00 LSB,PASS
170,13.0384,13.0352,0.003249,0.83 LSB,PASS
171,13.0767,13.0742,0.002478,0.63 LSB,PASS
172,13.1149,13.1133,0.001596,0.41 LSB,PASS
173,13.1529,13.1484,0.004509,1.15 LSB,PASS
174,13.1909,13.1875,0.003406,0.87 LSB,PASS
175,13.2288,13.2266,0.002194,0.56 LSB,PASS
176,13.2665,13.2617,0.004780,1.22 LSB,PASS
177,13.3041,13.3008,0.003353,0.86 LSB,PASS
178,13.3417,13.3398,0.001820,0.47 LSB,PASS
179,13.3791,13.3750,0.004088,1.05 LSB,PASS
180,13.4164,13.4141,0.002345,0.60 LSB,PASS
181,13.4536,13.4492,0.004405,1.13 LSB,PASS
182,13.4907,13.4883,0.002456,0.63 LSB,PASS
183,13.5277,13.5234,0.004312,1.10 LSB,PASS
184,13.5647,13.5625,0.002160,0.55 LSB,PASS
185,13.6015,13.5977,0.003814,0.98 LSB,PASS
186,13.6382,13.6367,0.001463,0.37 LSB,PASS
187,13.6748,13.6719,0.002919,0.75 LSB,PASS
188,13.7113,13.7070,0.004278,1.10 LSB,PASS
189,13.7477,13.7461,0.001633,0.42 LSB,PASS
190,13.7840,13.7812,0.002799,0.72 LSB,PASS
191,13.8203,13.8164,0.003869,0.99 LSB,PASS
192,13.8564,13.8516,0.004844,1.24 LSB,PASS
193,13.8924,13.8906,0.001819,0.47 LSB,PASS
194,13.9284,13.9258,0.002607,0.67 LSB,PASS
195,13.9642,13.9609,0.003303,0.85 LSB,PASS
196,14.0000,13.9961,0.003906,1.00 LSB,PASS
197,14.0357,14.0312,0.004419,1.13 LSB,PASS
198,14.0712,14.0664,0.004841,1.24 LSB,PASS
199,14.1067,14.1016,0.005173,1.32 LSB,PASS
200,14.1421,14.1406,0.001511,0.39 LSB,PASS
201,14.1774,14.1758,0.001666,0.43 LSB,PASS
202,14.2127,14.2109,0.001733,0.44 LSB,PASS
203,14.2478,14.2461,0.001713,0.44 LSB,PASS
204,14.2829,14.2812,0.001607,0.41 LSB,PASS
205,14.3178,14.3125,0.005321,1.36 LSB,PASS
206,14.3527,14.3477,0.005044,1.29 LSB,PASS
207,14.3875,14.3828,0.004682,1.20 LSB,PASS
208,14.4222,14.4180,0.004236,1.08 LSB,PASS
209,14.4568,14.4531,0.003707,0.95 LSB,PASS
210,14.4914,14.4883,0.003095,0.79 LSB,PASS
211,14.5258,14.5234,0.002402,0.61 LSB,PASS
212,14.5602,14.5586,0.001626,0.42 LSB,PASS
213,14.5945,14.5898,0.004676,1.20 LSB,PASS
214,14.6287,14.6250,0.003739,0.96 LSB,PASS
215,14.6629,14.6602,0.002722,0.70 LSB,PASS
216,14.6969,14.6953,0.001626,0.42 LSB,PASS
217,14.7309,14.7266,0.004357,1.12 LSB,PASS
218,14.7648,14.7617,0.003104,0.79 LSB,PASS
219,14.7986,14.7969,0.001774,0.45 LSB,PASS
220,14.8324,14.8281,0.004272,1.09 LSB,PASS
221,14.8661,14.8633,0.002787,0.71 LSB,PASS
222,14.8997,14.8945,0.005133,1.31 LSB,PASS
223,14.9332,14.9297,0.003497,0.90 LSB,PASS
224,14.9666,14.9648,0.001786,0.46 LSB,PASS
225,15.0000,14.9961,0.003906,1.00 LSB,PASS
226,15.0333,15.0312,0.002046,0.52 LSB,PASS
227,15.0665,15.0625,0.004019,1.03 LSB,PASS
228,15.0997,15.0977,0.002013,0.52 LSB,PASS
229,15.1327,15.1289,0.003840,0.98 LSB,PASS
230,15.1658,15.1641,0.001688,0.43 LSB,PASS
231,15.1987,15.1953,0.003372,0.86 LSB,PASS
232,15.2315,15.2266,0.004984,1.28 LSB,PASS
233,15.2643,15.2617,0.002619,0.67 LSB,PASS
234,15.2971,15.2930,0.004090,1.05 LSB,PASS
235,15.3297,15.3242,0.005491,1.41 LSB,PASS
236,15.3623,15.3594,0.002916,0.75 LSB,PASS
237,15.3948,15.3906,0.004179,1.07 LSB,PASS
238,15.4272,15.4219,0.005374,1.38 LSB,PASS
239,15.4596,15.4570,0.002594,0.66 LSB,PASS
240,15.4919,15.4883,0.003652,0.93 LSB,PASS
241,15.5242,15.5195,0.004643,1.19 LSB,PASS
242,15.5563,15.5547,0.001662,0.43 LSB,PASS
243,15.5885,15.5859,0.002520,0.65 LSB,PASS
244,15.6205,15.6172,0.003312,0.85 LSB,PASS
245,15.6525,15.6484,0.004038,1.03 LSB,PASS
246,15.6844,15.6797,0.004700,1.20 LSB,PASS
247,15.7162,15.7109,0.005296,1.36 LSB,PASS
248,15.7480,15.7461,0.001922,0.49 LSB,PASS
249,15.7797,15.7773,0.002390,0.61 LSB,PASS
250,15.8114,15.8086,0.002795,0.72 LSB,PASS
251,15.8430,15.8398,0.003136,0.80 LSB,PASS
252,15.8745,15.8711,0.003414,0.87 LSB,PASS
253,15.9060,15.9023,0.003630,0.93 LSB,PASS
254,15.9374,15.9336,0.003784,0.97 LSB,PASS
255,15.9687,15.9648,0.003876,0.99 LSB,PASS
256,16.0000,16.0000,0.000000,0.00 LSB,PASS
257,16.0312,16.0273,0.003876,0.99 LSB,PASS
258,16.0624,16.0586,0.003785,0.97 LSB,PASS
259,16.0935,16.0898,0.003633,0.93 LSB,PASS
260,16.1245,16.1211,0.003422,0.88 LSB,PASS
261,16.1555,16.1523,0.003151,0.81 LSB,PASS
262,16.1864,16.1836,0.002820,0.72 LSB,PASS
263,16.2173,16.2148,0.002431,0.62 LSB,PASS
264,16.2481,16.2461,0.001983,0.51 LSB,PASS
265,16.2788,16.2773,0.001477,0.38 LSB,PASS
266,16.3095,16.3086,0.000913,0.23 LSB,PASS
267,16.3401,16.3398,0.000291,0.07 LSB,PASS
268,16.3707,16.3672,0.003518,0.90 LSB,PASS
269,16.4012,16.3984,0.002782,0.71 LSB,PASS
270,16.4317,16.4297,0.001989,0.51 LSB,PASS
271,16.4621,16.4609,0.001140,0.29 LSB,PASS
272,16.4924,16.4922,0.000235,0.06 LSB,PASS
273,16.5227,16.5195,0.003180,0.81 LSB,PASS
274,16.5529,16.5508,0.002164,0.55 LSB,PASS
275,16.5831,16.5820,0.001093,0.28 LSB,PASS
276,16.6132,16.6094,0.003873,0.99 LSB,PASS
277,16.6433,16.6406,0.002692,0.69 LSB,PASS
278,16.6733,16.6719,0.001457,0.37 LSB,PASS
279,16.7033,16.7031,0.000168,0.04 LSB,PASS
280,16.7332,16.7305,0.002732,0.70 LSB,PASS
281,16.7631,16.7617,0.001336,0.34 LSB,PASS
282,16.7929,16.7891,0.003793,0.97 LSB,PASS
283,16.8226,16.8203,0.002291,0.59 LSB,PASS
284,16.8523,16.8516,0.000737,0.19 LSB,PASS
285,16.8819,16.8789,0.003037,0.78 LSB,PASS
286,16.9115,16.9102,0.001378,0.35 LSB,PASS
287,16.9411,16.9375,0.003574,0.92 LSB,PASS
288,16.9706,16.9688,0.001813,0.46 LSB,PASS
289,17.0000,17.0000,0.000000,0.00 LSB,PASS
290,17.0294,17.0273,0.002043,0.52 LSB,PASS
291,17.0587,17.0586,0.000128,0.03 LSB,PASS
292,17.0880,17.0859,0.002070,0.53 LSB,PASS
293,17.1172,17.1172,0.000055,0.01 LSB,PASS
294,17.1464,17.1445,0.001897,0.49 LSB,PASS
295,17.1756,17.1719,0.003689,0.94 LSB,PASS
296,17.2047,17.2031,0.001526,0.39 LSB,PASS
297,17.2337,17.2305,0.003219,0.82 LSB,PASS
298,17.2627,17.2617,0.000958,0.25 LSB,PASS
299,17.2916,17.2891,0.002554,0.65 LSB,PASS
300,17.3205,17.3203,0.000196,0.05 LSB,PASS
301,17.3494,17.3477,0.001695,0.43 LSB,PASS
302,17.3781,17.3750,0.003147,0.81 LSB,PASS
303,17.4069,17.4062,0.000645,0.17 LSB,PASS
304,17.4356,17.4336,0.002002,0.51 LSB,PASS
305,17.4642,17.4609,0.003312,0.85 LSB,PASS
306,17.4929,17.4922,0.000668,0.17 LSB,PASS
307,17.5214,17.5195,0.001884,0.48 LSB,PASS
308,17.5499,17.5469,0.003054,0.78 LSB,PASS
309,17.5784,17.5781,0.000271,0.07 LSB,PASS
310,17.6068,17.6055,0.001348,0.35 LSB,PASS
311,17.6352,17.6328,0.002380,0.61 LSB,PASS
312,17.6635,17.6602,0.003365,0.86 LSB,PASS
313,17.6918,17.6914,0.000400,0.10 LSB,PASS
314,17.7200,17.7188,0.001295,0.33 LSB,PASS
315,17.7482,17.7461,0.002146,0.55 LSB,PASS
316,17.7764,17.7734,0.002951,0.76 LSB,PASS
317,17.8045,17.8008,0.003713,0.95 LSB,PASS
318,17.8326,17.8320,0.000523,0.13 LSB,PASS
319,17.8606,17.8594,0.001196,0.31 LSB,PASS
320,17.8885,17.8867,0.001825,0.47 LSB,PASS
321,17.9165,17.9141,0.002410,0.62 LSB,PASS
322,17.9444,17.9414,0.002952,0.76 LSB,PASS
323,17.9722,17.9688,0.003451,0.88 LSB,PASS
324,18.0000,18.0000,0.000000,0.00 LSB,PASS
325,18.0278,18.0273,0.000413,0.11 LSB,PASS
326,18.0555,18.0547,0.000783,0.20 LSB,PASS
327,18.0831,18.0820,0.001110,0.28 LSB,PASS
328,18.1108,18.1094,0.001395,0.36 LSB,PASS
329,18.1384,18.1367,0.001638,0.42 LSB,PASS
330,18.1659,18.1641,0.001840,0.47 LSB,PASS
331,18.1934,18.1914,0.001999,0.51 LSB,PASS
332,18.2209,18.2188,0.002117,0.54 LSB,PASS
333,18.2483,18.2461,0.002194,0.56 LSB,PASS
334,18.2757,18.2734,0.002229,0.57 LSB,PASS
335,18.3030,18.3008,0.002224,0.57 LSB,PASS
336,18.3303,18.3281,0.002178,0.56 LSB,PASS
337,18.3576,18.3555,0.002091,0.54 LSB,PASS
338,18.3848,18.3828,0.001964,0.50 LSB,PASS
339,18.4120,18.4102,0.001796,0.46 LSB,PASS
340,18.4391,18.4375,0.001589,0.41 LSB,PASS
341,18.4662,18.4648,0.001342,0.34 LSB,PASS
342,18.4932,18.4922,0.001055,0.27 LSB,PASS
343,18.5203,18.5195,0.000728,0.19 LSB,PASS
344,18.5472,18.5469,0.000362,0.09 LSB,PASS
345,18.5742,18.5703,0.003863,0.99 LSB,PASS
346,18.6011,18.5977,0.003419,0.88 LSB,PASS
347,18.6279,18.6250,0.002936,0.75 LSB,PASS
348,18.6548,18.6523,0.002414,0.62 LSB,PASS
349,18.6815,18.6797,0.001854,0.47 LSB,PASS
350,18.7083,18.7070,0.001256,0.32 LSB,PASS
351,18.7350,18.7344,0.000619,0.16 LSB,PASS
352,18.7617,18.7578,0.003851,0.99 LSB,PASS
353,18.7883,18.7852,0.003138,0.80 LSB,PASS
354,18.8149,18.8125,0.002388,0.61 LSB,PASS
355,18.8414,18.8398,0.001600,0.41 LSB,PASS
356,18.8680,18.8672,0.000775,0.20 LSB,PASS
357,18.8944,18.8906,0.003819,0.98 LSB,PASS
358,18.9209,18.9180,0.002919,0.75 LSB,PASS
359,18.9473,18.9453,0.001983,0.51 LSB,PASS
360,18.9737,18.9727,0.001010,0.26 LSB,PASS
361,19.0000,19.0000,0.000000,0.00 LSB,PASS
362,19.0263,19.0234,0.002860,0.73 LSB,PASS
363,19.0526,19.0508,0.001778,0.46 LSB,PASS
364,19.0788,19.0781,0.000659,0.17 LSB,PASS
365,19.1050,19.1016,0.003411,0.87 LSB,PASS
366,19.1311,19.1289,0.002220,0.57 LSB,PASS
367,19.1572,19.1562,0.000994,0.25 LSB,PASS
368,19.1833,19.1797,0.003639,0.93 LSB,PASS
369,19.2094,19.2070,0.002341,0.60 LSB,PASS
370,19.2354,19.2344,0.001009,0.26 LSB,PASS
371,19.2614,19.2578,0.003548,0.91 LSB,PASS
372,19.2873,19.2852,0.002145,0.55 LSB,PASS
373,19.3132,19.3125,0.000708,0.18 LSB,PASS
374,19.3391,19.3359,0.003142,0.80 LSB,PASS
375,19.3649,19.3633,0.001635,0.42 LSB,PASS
376,19.3907,19.3906,0.000094,0.02 LSB,PASS
377,19.4165,19.4141,0.002425,0.62 LSB,PASS
378,19.4422,19.4414,0.000816,0.21 LSB,PASS
379,19.4679,19.4648,0.003079,0.79 LSB,PASS
380,19.4936,19.4922,0.001401,0.36 LSB,PASS
381,19.5192,19.5156,0.003596,0.92 LSB,PASS
382,19.5448,19.5430,0.001852,0.47 LSB,PASS
383,19.5704,19.5703,0.000073,0.02 LSB,PASS
384,19.5959,19.5938,0.002168,0.55 LSB,PASS
385,19.6214,19.6211,0.000323,0.08 LSB,PASS
386,19.6469,19.6445,0.002351,0.60 LSB,PASS
387,19.6723,19.6719,0.000441,0.11 LSB,PASS
388,19.6977,19.6953,0.002403,0.62 LSB,PASS
389,19.7231,19.7227,0.000427,0.11 LSB,PASS
390,19.7484,19.7461,0.002324,0.59 LSB,PASS
391,19.7737,19.7734,0.000282,0.07 LSB,PASS
392,19.7990,19.7969,0.002115,0.54 LSB,PASS
393,19.8242,19.8242,0.000009,0.00 LSB,PASS
394,19.8494,19.8477,0.001777,0.45 LSB,PASS
395,19.8746,19.8711,0.003513,0.90 LSB,PASS
396,19.8997,19.8984,0.001311,0.34 LSB,PASS
397,19.9249,19.9219,0.002984,0.76 LSB,PASS
398,19.9499,19.9492,0.000719,0.18 LSB,PASS
399,19.9750,19.9727,0.002328,0.60 LSB,PASS
400,20.0000,20.0000,0.000000,0.00 LSB,PASS
401,20.0250,20.0234,0.001547,0.40 LSB,PASS
402,20.0499,20.0469,0.003063,0.78 LSB,PASS
403,20.0749,20.0742,0.000641,0.16 LSB,PASS
404,20.0998,20.0977,0.002095,0.54 LSB,PASS
405,20.1246,20.1211,0.003518,0.90 LSB,PASS
406,20.1494,20.1484,0.001004,0.26 LSB,PASS
407,20.1742,20.1719,0.002366,0.61 LSB,PASS
408,20.1990,20.1953,0.003697,0.95 LSB,PASS
409,20.2237,20.2227,0.001092,0.28 LSB,PASS
410,20.2485,20.2461,0.002363,0.60 LSB,PASS
411,20.2731,20.2695,0.003604,0.92 LSB,PASS
412,20.2978,20.2969,0.000908,0.23 LSB,PASS
413,20.3224,20.3203,0.002089,0.53 LSB,PASS
414,20.3470,20.3438,0.003240,0.83 LSB,PASS
415,20.3715,20.3711,0.000455,0.12 LSB,PASS
416,20.3961,20.3945,0.001547,0.40 LSB,PASS
417,20.4206,20.4180,0.002609,0.67 LSB,PASS
418,20.4450,20.4414,0.003642,0.93 LSB,PASS
419,20.4695,20.4688,0.000739,0.19 LSB,PASS
420,20.4939,20.4922,0.001714,0.44 LSB,PASS
421,20.5183,20.5156,0.002660,0.68 LSB,PASS
422,20.5426,20.5391,0.003576,0.92 LSB,PASS
423,20.5670,20.5664,0.000558,0.14 LSB,PASS
424,20.5913,20.5898,0.001417,0.36 LSB,PASS
425,20.6155,20.6133,0.002247,0.58 LSB,PASS
426,20.6398,20.6367,0.003049,0.78 LSB,PASS
427,20.6640,20.6602,0.003822,0.98 LSB,PASS
428,20.6882,20.6875,0.000661,0.17 LSB,PASS
429,20.7123,20.7109,0.001378,0.35 LSB,PASS
430,20.7364,20.7344,0.002066,0.53 LSB,PASS
431,20.7605,20.7578,0.002727,0.70 LSB,PASS
432,20.7846,20.7812,0.003360,0.86 LSB,PASS
433,20.8087,20.8086,0.000058,0.01 LSB,PASS
434,20.8327,20.8320,0.000635,0.16 LSB,PASS
435,20.8567,20.8555,0.001185,0.30 LSB,PASS
436,20.8806,20.8789,0.001707,0.44 LSB,PASS
437,20.9045,20.9023,0.002201,0.56 LSB,PASS
438,20.9284,20.9258,0.002668,0.68 LSB,PASS
439,20.9523,20.9492,0.003108,0.80 LSB,PASS
440,20.9762,20.9727,0.003521,0.90 LSB,PASS
441,21.0000,21.0000,0.000000,0.00 LSB,PASS
442,21.0238,21.0234,0.000359,0.09 LSB,PASS
443,21.0476,21.0469,0.000690,0.18 LSB,PASS
444,21.0713,21.0703,0.000995,0.25 LSB,PASS
445,21.0950,21.0938,0.001273,0.33 LSB,PASS
446,21.1187,21.1172,0.001525,0.39 LSB,PASS
447,21.1424,21.1406,0.001750,0.45 LSB,PASS
448,21.1660,21.1641,0.001948,0.50 LSB,PASS
449,21.1896,21.1875,0.002120,0.54 LSB,PASS
450,21.2132,21.2109,0.002266,0.58 LSB,PASS
451,21.2368,21.2344,0.002386,0.61 LSB,PASS
452,21.2603,21.2578,0.002479,0.63 LSB,PASS
453,21.2838,21.2812,0.002547,0.65 LSB,PASS
454,21.3073,21.3047,0.002588,0.66 LSB,PASS
455,21.3307,21.3281,0.002604,0.67 LSB,PASS
456,21.3542,21.3516,0.002594,0.66 LSB,PASS
457,21.3776,21.3750,0.002558,0.65 LSB,PASS
458,21.4009,21.3984,0.002497,0.64 LSB,PASS
459,21.4243,21.4219,0.002410,0.62 LSB,PASS
460,21.4476,21.4453,0.002298,0.59 LSB,PASS
461,21.4709,21.4688,0.002161,0.55 LSB,PASS
462,21.4942,21.4922,0.001998,0.51 LSB,PASS
463,21.5174,21.5156,0.001810,0.46 LSB,PASS
464,21.5407,21.5391,0.001597,0.41 LSB,PASS
465,21.5639,21.5625,0.001359,0.35 LSB,PASS
466,21.5870,21.5859,0.001096,0.28 LSB,PASS
467,21.6102,21.6094,0.000808,0.21 LSB,PASS
468,21.6333,21.6328,0.000495,0.13 LSB,PASS
469,21.6564,21.6562,0.000158,0.04 LSB,PASS
470,21.6795,21.6758,0.003702,0.95 LSB,PASS
471,21.7025,21.6992,0.003316,0.85 LSB,PASS
472,21.7256,21.7227,0.002905,0.74 LSB,PASS
473,21.7486,21.7461,0.002469,0.63 LSB,PASS
474,21.7715,21.7695,0.002010,0.51 LSB,PASS
475,21.7945,21.7930,0.001526,0.39 LSB,PASS
476,21.8174,21.8164,0.001018,0.26 LSB,PASS
477,21.8403,21.8398,0.000486,0.12 LSB,PASS
478,21.8632,21.8594,0.003836,0.98 LSB,PASS
479,21.8861,21.8828,0.003256,0.83 LSB,PASS
480,21.9089,21.9062,0.002652,0.68 LSB,PASS
481,21.9317,21.9297,0.002025,0.52 LSB,PASS
